	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
	Obama Unemployment	Bush II Unemployment	Defense Spending	Obama Vote 08	Iraq deaths % Black	Medicaid Spending	TARP % Paid Back	Global Warming Amount	Iraq deaths	Debt Service Spending
Democrat (1=Yes, 0=Republican)	0.293	0.239	0.118	0.126	0.219	0.136	0.107	0.133	0.051	0.010
	[0.065]***	[0.068]***	[0.085]	[0.086]	[0.081]***	[0.086]	[0.091]	[0.057]**	[0.072]	[0.089]
Payment Correct * Democrat	-0.210	-0.097	-0.021	-0.091	-0.207	-0.088	-0.059	-0.107	-0.043	0.062
	[0.078]***	[0.077]	[0.093]	[0.095]	[0.092]**	[0.096]	[0.100]	[0.063]*	[0.081]	[0.099]
Payment DK and Correct * Democrat	-0.184	-0.202	-0.092	-0.056	-0.209	-0.139	-0.091	-0.093	-0.052	-0.035
	[0.073]**	[0.073]***	[0.088]	[0.092]	[0.086]**	[0.089]	[0.096]	[0.060]	[0.077]	[0.092]
Payment for Correct Response	0.021	-0.049	-0.053	-0.028	0.113	0.081	-0.019	0.058	-0.009	0.042
	[0.057]	[0.072]	[0.080]	[0.080]	[0.069]	[0.079]	[0.073]	[0.055]	[0.064]	[0.082]
Payment for DK and Correct Response	-0.019	0.079	0.059	-0.031	0.158	0.067	0.053	0.038	0.013	0.039
	[0.054]	[0.068]	[0.076]	[0.078]	[0.064]**	[0.073]	[0.071]	[0.053]	[0.062]	[0.076]
Constant	0.401	0.586	0.630	0.467	0.241	0.489	0.346	0.605	0.522	0.490
	[0.048]***	[0.066]***	[0.073]***	[0.073]***	[0.060]***	[0.071]***	[0.066]***	[0.050]***	[0.057]***	[0.074]***
Observations	444	485	446	457	470	442	452	466	479	467
R-squared	0.077	0.099	0.050	0.029	0.023	0.022	0.017	0.028	0.005	0.029
F-test, Pay Correct * Dem. > Pay DK and Correct * Dem.	0.31	0.01	0.06	0.25	0.49	0.15	0.28	0.34	0.42	0.03
Percentage of Partisan Gap Eliminated by Payment for Correct Response	71.60	40.63	17.83	72.08	94.15	64.81	55.25	80.54	83.32	-9999.00
Percentage of Partisan Gap Eliminated by Payment for DK and Correct Response	62.71	84.49	78.24	44.68	95.07	101.90	84.75	70.30	101.01	335.72
Robust standard errors in brackets										
* significant at 10%; ** significant at 5%; *** significant at 1%										
