	(1)	(2)	(3)	(4)	(5)	(6)
	All non-placebo cases with p<.10 partisan gaps in control	All non-placebo cases with p<.10 partisan gaps in control	All non-placebo cases with p<.10 partisan gaps in control	All non-placebo cases with p<.10 partisan gaps in control	All non-placebo cases with p<.10 partisan gaps in control	All non-placebo cases with p<.10 partisan gaps in control
Democrat (1=Yes, 0=Republican)	0.128	0.116	0.112	0.118	0.105	0.082
	[0.022]***	[0.022]***	[0.039]***	[0.015]***	[0.016]***	[0.022]***
Payment for Correct Response * Democrat	-0.063	-0.057	-0.045	-0.065	-0.059	-0.057
	[0.030]**	[0.025]**	[0.057]	[0.022]***	[0.022]***	[0.037]
Payment for Correct Response	0.035	0.023	0.031	0.038	0.031	0.045
	[0.020]*	[0.017]	[0.041]	[0.016]**	[0.016]*	[0.029]
Knowledge (0-1)		0.026			0.013	
		[0.020]			[0.015]	
Race: White (1=yes)		-0.041			-0.034	
		[0.022]*			[0.021]*	
Race: Black (1=yes)		-0.048			-0.051	
		[0.033]			[0.030]*	
Race: Hispanic (1=yes)		-0.024			-0.011	
		[0.029]			[0.026]	
o. Race: Other Race (1=yes)		0.000			0.000	
		[0.000]			[0.000]	
Female (1=yes)		0.002			0.016	
		[0.018]			[0.012]	
Age (Years)		-0.000			0.001	
		[0.002]			[0.002]	
Age-squared/100		-0.000			-0.001	
		[0.002]			[0.002]	
Region: Northeast		0.051			0.043	
		[0.018]***			[0.017]***	
Region: Midwest		0.051			0.042	
		[0.020]**			[0.016]***	
Region: South		0.008			0.014	
		[0.016]			[0.014]	
Income (1=<10k; 14=>150k; 15=RF/Missing)		0.004			0.005	
		[0.002]*			[0.002]**	
Income Missing		-0.045			-0.046	
		[0.027]*			[0.024]*	
Education (1=No HS; 6=Post-grad)		0.005			0.000	
		[0.006]			[0.006]	
Education: No HS		0.020			0.006	
		[0.025]			[0.024]	
Education: Some college		0.042			0.019	
		[0.019]**			[0.014]	
Education: 2-year college		0.051			0.032	
		[0.033]			[0.026]	
Education: 4-year college		-0.016			-0.003	
		[0.020]			[0.019]	
o. Education: Post-graduate		0.000			0.000	
		[0.000]			[0.000]	
Married/Domestic Partnership (1=yes)		-0.003			-0.007	
		[0.016]			[0.013]	
Religious Attendance (1-6)		-0.005			-0.002	
		[0.004]			[0.004]	
Interest * Democrat			0.033			0.059
			[0.044]			[0.030]**
Pay Correct * Interest * Democrat			-0.034			-0.023
			[0.065]			[0.046]
Pay Correct * Interest			0.005			-0.005
			[0.046]			[0.035]
Political Interest (0,1)			0.002			-0.034
			[0.028]			[0.021]
Constant	0.277	0.249	0.276	0.239	0.211	0.261
	[0.033]***	[0.072]***	[0.041]***	[0.021]***	[0.059]***	[0.024]***
Observations	3321	3299	3305	3321	3299	3305
R-squared	0.354	0.369	0.355	0.398	0.407	0.400
Robust standard errors in brackets						
* significant at 10%; ** significant at 5%; *** significant at 1%						
Note: Source: 2008 CCES. Includes only Democrats and Republicans. Robust standard errors, clustered by respondent. Question fixed effects not reported.						
