item_name,survey,study,year,prop_r_correct,prop_d_correct,dem_minus_rep,std.error,statistic,p.value,prop_correct_all,n_dem,n_rep,prop_r_correct_nolean,prop_d_correct_nolean,dem_minus_rep_nolean,std.error_nolean,statistic_nolean,p.value_nolean
iraq_change_b,CCES,Bullock et al.,2008,0.756097560975612,0.475524475524477,-0.280573085451135,0.0578134015865315,-4.85308038882976,2.08184615430344e-06,0.613333333333331,143,123,0.747474747474749,0.451327433628321,-0.296147313846429,0.0648957865638795,-4.56342899172536,8.55772438636685e-06
gwb_infl_change_b,CCES,Bullock et al.,2008,0.532786885245904,0.857142857142859,0.324355971896956,0.0529444410148473,6.12634614096684,3.3107229308856e-09,0.712374581939796,140,122,0.520408163265304,0.853211009174309,0.332802845909005,0.0600211924752368,5.54475564687108,9.00321817113369e-08
gwb_unemp_change_b,CCES,Bullock et al.,2008,0.450819672131148,0.72857142857143,0.277751756440282,0.0584418809331304,4.75261493992788,3.32670530695757e-06,0.606666666666664,140,122,0.453608247422679,0.72072072072072,0.267112473298041,0.0659527381785589,4.05005888572612,7.24934968288985e-05
gwb_approval_b,CCES,Bullock et al.,2008,0.407999999999999,0.717241379310344,0.309241379310345,0.0575565278655813,5.37282895230501,1.68430076002241e-07,0.545454545454546,145,125,0.37,0.71551724137931,0.34551724137931,0.0638968679919802,5.40742061759078,1.70254068562985e-07
iraq_total_b,CCES,Bullock et al.,2008,0.756097560975611,0.631205673758866,-0.124891887216744,0.056788146242879,-2.199259801202,0.028733381928771,0.684385382059801,141,123,0.767676767676768,0.621621621621622,-0.146055146055146,0.0634104362310561,-2.30332977875988,0.0222485079153936
gwb_app_reps_b,CCES,Bullock et al.,2008,0.204918032786885,0.167832167832168,-0.0370858649547175,0.047974036669906,-0.7730403261642,0.440192721027785,0.182119205298013,143,122,0.206185567010309,0.175438596491228,-0.0307469705190813,0.0543606301403649,-0.565611002662946,0.572264962653664
obama_age_b,CCES,Bullock et al.,2008,0.572580645161292,0.661971830985916,0.0893911858246249,0.0596217246643763,1.49930560257737,0.134989218968939,0.595394736842103,142,124,0.545454545454547,0.657894736842107,0.11244019138756,0.0670108145430397,1.67794097347289,0.0948391564217377
mccain_age_b,CCES,Bullock et al.,2008,0.832000000000002,0.770833333333335,-0.0611666666666674,0.0490073234185211,-1.2481127798861,0.213083166265751,0.794788273615631,144,125,0.819999999999998,0.773913043478259,-0.0460869565217389,0.0553324083017218,-0.832910728743843,0.405828027212007
afgh_change_b,CCES,Bullock et al.,2008,0.278688524590164,0.282608695652174,0.00392017106200999,0.0560594465845089,0.0699288220068385,0.944304482912787,0.289562289562289,138,122,0.268041237113402,0.297297297297298,0.0292560601838953,0.06292314440707,0.464949113074014,0.642458981721196
gwb_def_change_b,CCES,Bullock et al.,2008,0.91129032258065,0.93571428571429,0.0244239631336401,0.0327207395542656,0.746436769655963,0.456072865482758,0.920529801324498,140,124,0.909090909090913,0.920353982300888,0.0112630732099755,0.0385462722639671,0.292196172248391,0.77042510722271
def_spend_b,MTurk,Bullock et al.,2012,0.261904761904762,0.256410256410257,-0.00549450549450532,0.084480235507974,-0.0650389462276855,0.948253048808676,0.265734265734266,78,42,0.333333333333334,0.192307692307692,-0.141025641025641,0.0984240546973339,-1.43283713985684,0.15580069825259
iraq_death_b,MTurk,Bullock et al.,2012,0.142857142857143,0.074468085106383,-0.0683890577507596,0.0576488594955651,-1.18630374215852,0.237716938120316,0.0967741935483871,94,35,0.208333333333333,0.0434782608695655,-0.164855072463768,0.064913367830901,-2.53961669179165,0.0127938092393883
iraq_deaths_black_b,MTurk,Bullock et al.,2012,0.277777777777778,0.168421052631579,-0.109356725146198,0.0690608297139823,-1.58348409075163,0.115460229935937,0.21301775147929,95,54,0.333333333333333,0.181818181818182,-0.151515151515152,0.0896507729090176,-1.69005962356752,0.0942280131592221
gwb_emp_change_b,MTurk,Bullock et al.,2012,0.0930232558139535,0.0879120879120879,-0.00511116790186557,0.0532369891900786,-0.0960078317655518,0.923659958061003,0.0886075949367088,91,43,0.037037037037037,0.114754098360656,0.0777170613236188,0.0666948417688612,1.16526344860306,0.247134255842529
obama_vote_b,MTurk,Bullock et al.,2012,0.351351351351352,0.157894736842105,-0.193456614509246,0.0780051300303302,-2.4800498945906,0.0144149767108206,0.219512195121951,95,37,0.409090909090908,0.111111111111111,-0.297979797979797,0.0923420068185964,-3.22691490304267,0.00179185127115629
amount_warm_b,MTurk,Bullock et al.,2012,0.377358490566038,0.444444444444445,0.0670859538784069,0.0876014466153468,0.76580874483703,0.445157324337689,0.407894736842106,81,53,0.4,0.423076923076923,0.0230769230769228,0.108912196930129,0.211885571381206,0.832703551642291
medicaid_b,MTurk,Bullock et al.,2012,0.105263157894737,0.298969072164948,0.193705914270212,0.0811414361198388,2.38726258164972,0.0183813390440041,0.228187919463087,97,38,0.137931034482759,0.351851851851852,0.213920817369093,0.101559684910941,2.10635566225596,0.0382690315246326
debt_service_b,MTurk,Bullock et al.,2012,0.0980392156862745,0.0989010989010989,0.000861883214824408,0.0525168637812555,0.0164115515049479,0.986929429378467,0.121951219512195,91,51,0.09375,0.147540983606557,0.0537909836065574,0.0737576481230647,0.729293639038043,0.467695028491187
obama_unemp_b,MTurk,Bullock et al.,2012,0.111111111111111,0.175,0.0638888888888888,0.0730547865716019,0.874533920187017,0.383666248445751,0.137404580152672,80,36,0.107142857142857,0.222222222222222,0.115079365079365,0.0902385227754387,1.27527979780591,0.205901229968019
tarp_b,MTurk,Bullock et al.,2012,0.131578947368421,0.222222222222222,0.090643274853801,0.0778521898093515,1.16429961797829,0.24667124589112,0.191176470588235,81,38,0.115384615384615,0.245614035087719,0.130229419703104,0.0955894848346145,1.36238227382878,0.176853591652395
foreign_b,MTurk,Bullock et al.,2012,0.264150943396227,0.395348837209302,0.131197893813076,0.082881595392998,1.58295569952506,0.115737368699805,0.355421686746988,86,53,0.258064516129032,0.46551724137931,0.207452725250278,0.107646256091295,1.92717083513185,0.0572218005963182
debt_2008_p,KN,Prior et al.,2008,0.154696132596685,0.153488372093023,-0.00120776050366179,0.0365073315106607,-0.0330826837702205,0.973625404195688,0.145263157894737,215,181,0.159235668789809,0.161073825503356,0.00183815671354696,0.0420807514467336,0.0436816513572417,0.965186842732993
unemp_2008_p,KN,Prior et al.,2008,0.403314917127072,0.293023255813953,-0.110291661313119,0.047700493264122,-2.31217024743169,0.021283123473283,0.318565400843881,215,181,0.280254777070064,0.395973154362417,0.115718377292352,0.0538157078809302,2.15027139563758,0.032322190517017
uninsur_2008_p,KN,Prior et al.,2008,0.475138121546962,0.269767441860464,-0.205370679686498,0.0475361679262936,-4.32030364763378,1.97488738802838e-05,0.33263157894737,215,181,0.280254777070064,0.476510067114095,0.196255290044031,0.0544240162951668,3.60604202710154,0.000363266206652194
estate_2008_p,KN,Prior et al.,2008,0.45303867403315,0.453271028037384,0.00023235400423429,0.050397724720465,0.00461040663091558,0.996323780098878,0.446088794926003,214,181,0.44871794871795,0.416107382550337,-0.0326105661676129,0.0569112456505149,-0.573007422256586,0.567064650029563
gas_2008_p,KN,Prior et al.,2008,0.370165745856354,0.308411214953271,-0.0617545309030835,0.0477432021747905,-1.29347274774316,0.196607336689201,0.327695560253699,214,181,0.301282051282051,0.355704697986578,0.0544226467045263,0.0538604174823097,1.01043863468755,0.313091390357213
unemp_2004_p,KN,Prior et al.,2004,0.431818181818181,0.232876712328767,-0.198941469489414,0.0611762529568801,-3.25193943521905,0.00131668097757036,0.279069767441861,146,88,0.216216216216215,0.394736842105264,0.178520625889049,0.0665554732041215,2.68228317363979,0.00797411729710998
estate_2004_p,KN,Prior et al.,2004,0.347826086956522,0.380000000000001,0.0321739130434782,0.0640866590951349,0.502037608103691,0.616101336278094,0.35576923076923,150,92,0.350877192982456,0.341772151898734,-0.00910504108372189,0.0700520442842423,-0.129975380115638,0.896722686147738
debt_2004_p,KN,Prior et al.,2004,0.239130434782609,0.216216216216216,-0.0229142185663928,0.0556526031768472,-0.411736689002278,0.680902989172277,0.219354838709677,148,92,0.214285714285714,0.240506329113924,0.0262206148282104,0.0616600626609589,0.42524469967515,0.671142076279804
uninsur_2004_p,KN,Prior et al.,2004,0.315217391304348,0.277027027027027,-0.0381903642773209,0.0605476856992445,-0.630748538714129,0.528810164814879,0.283870967741936,148,92,0.241071428571428,0.341772151898734,0.100700723327306,0.066107997324766,1.52327596361145,0.129361121221215
pov_2004_p,KN,Prior et al.,2004,0.41304347826087,0.283783783783783,-0.129259694477087,0.06228702997946,-2.07522648807804,0.0390400993529884,0.312903225806452,148,92,0.267857142857142,0.430379746835443,0.162522603978301,0.0687073419871484,2.36543285299409,0.0190217357964116
